chrom	start	end	GC
1	0	100000	0.42452222222222225
1	100000	200000	0.45815
1	200000	300000	0.4056871247498332
1	300000	400000	0.4718826875768758
1	400000	500000	0.40192
1	500000	600000	0.45786
1	600000	700000	0.42091
1	700000	800000	0.43337
1	800000	900000	0.44823
1	900000	1000000	0.62123
1	1000000	1100000	0.62746
1	1100000	1200000	0.58992
1	1200000	1300000	0.62685
1	1300000	1400000	0.6067
1	1400000	1500000	0.57414
1	1500000	1600000	0.56138
1	1600000	1700000	0.56796
1	1700000	1800000	0.53335
1	1800000	1900000	0.47259
1	1900000	2000000	0.56818
1	2000000	2100000	0.56962
1	2100000	2200000	0.5684
1	2200000	2300000	0.57803
1	2300000	2400000	0.58421
1	2400000	2500000	0.62701
1	2500000	2600000	0.61192
1	2600000	2700000	0.58534
1	2700000	2800000	0.5752774778283266
1	2800000	2900000	0.57936
1	2900000	3000000	0.55428
1	3000000	3100000	0.566
1	3100000	3200000	0.58159
1	3200000	3300000	0.56826
1	3300000	3400000	0.56179
1	3400000	3500000	0.59153
1	3500000	3600000	0.62381
1	3600000	3700000	0.57226
1	3700000	3800000	0.57201
1	3800000	3900000	0.49207
1	3900000	4000000	0.51777
1	4000000	4100000	0.49518
1	4100000	4200000	0.48685
1	4200000	4300000	0.44438
1	4300000	4400000	0.49496
1	4400000	4500000	0.475
1	4500000	4600000	0.46128
1	4600000	4700000	0.52037
1	4700000	4800000	0.51757
1	4800000	4900000	0.4356
1	4900000	5000000	0.45872
1	5000000	5100000	0.40916
1	5100000	5200000	0.43978
1	5200000	5300000	0.45412
1	5300000	5400000	0.46281
1	5400000	5500000	0.49312
1	5500000	5600000	0.45821
1	5600000	5700000	0.47046
1	5700000	5800000	0.51083
1	5800000	5900000	0.53204
1	5900000	6000000	0.49296
1	6000000	6100000	0.55532
1	6100000	6200000	0.55232
1	6200000	6300000	0.56391
1	6300000	6400000	0.5304
1	6400000	6500000	0.58107
1	6500000	6600000	0.5271
1	6600000	6700000	0.48978
1	6700000	6800000	0.46513
1	6800000	6900000	0.41148
1	6900000	7000000	0.48644
1	7000000	7100000	0.48364
1	7100000	7200000	0.46281
1	7200000	7300000	0.44451
1	7300000	7400000	0.4659
1	7400000	7500000	0.5298
1	7500000	7600000	0.52689
1	7600000	7700000	0.5453
1	7700000	7800000	0.43971
1	7800000	7900000	0.42566
1	7900000	8000000	0.45383
1	8000000	8100000	0.43148
1	8100000	8200000	0.45684
1	8200000	8300000	0.47765
1	8300000	8400000	0.49666
1	8400000	8500000	0.42754
1	8500000	8600000	0.40737
1	8600000	8700000	0.39978
1	8700000	8800000	0.41176
1	8800000	8900000	0.47082
1	8900000	9000000	0.47521
1	9000000	9100000	0.48912
1	9100000	9200000	0.50485
1	9200000	9300000	0.51
1	9300000	9400000	0.5414
1	9400000	9500000	0.4984
1	9500000	9600000	0.48579
1	9600000	9700000	0.51966
1	9700000	9800000	0.494
1	9800000	9900000	0.50398
1	9900000	10000000	0.46759
1	10000000	10100000	0.45387
1	10100000	10200000	0.44042
1	10200000	10300000	0.42193
1	10300000	10400000	0.43578
1	10400000	10500000	0.47522
1	10500000	10600000	0.43135
1	10600000	10700000	0.56837
1	10700000	10800000	0.54553
1	10800000	10900000	0.52039
1	10900000	11000000	0.51556
1	11000000	11100000	0.48261
1	11100000	11200000	0.45032
1	11200000	11300000	0.45528
1	11300000	11400000	0.51319
1	11400000	11500000	0.50852
1	11500000	11600000	0.5084
1	11600000	11700000	0.53323
1	11700000	11800000	0.53344
1	11800000	11900000	0.50288
1	11900000	12000000	0.51602
1	12000000	12100000	0.51513
1	12100000	12200000	0.52694
1	12200000	12300000	0.44911
1	12300000	12400000	0.41171
1	12400000	12500000	0.42747
1	12500000	12600000	0.50413
1	12600000	12700000	0.47085
1	12700000	12800000	0.44363
1	12800000	12900000	0.44435
1	12900000	13000000	0.4643645189761695
1	13000000	13100000	0.4551330321285141
1	13100000	13200000	0.45138
1	13200000	13300000	0.46355
1	13300000	13400000	0.46141
1	13400000	13500000	0.47877
1	13500000	13600000	0.47258
1	13600000	13700000	0.43546
1	13700000	13800000	0.41364
1	13800000	13900000	0.45771
1	13900000	14000000	0.43065
1	14000000	14100000	0.42228
1	14100000	14200000	0.43331
1	14200000	14300000	0.4138
1	14300000	14400000	0.41976
1	14400000	14500000	0.43149
1	14500000	14600000	0.44628
1	14600000	14700000	0.45667
1	14700000	14800000	0.47617
1	14800000	14900000	0.48175
1	14900000	15000000	0.51764
1	15000000	15100000	0.51412
1	15100000	15200000	0.4915
1	15200000	15300000	0.45744
1	15300000	15400000	0.48673
1	15400000	15500000	0.50694
1	15500000	15600000	0.46049
1	15600000	15700000	0.4517
1	15700000	15800000	0.53952
1	15800000	15900000	0.45232
1	15900000	16000000	0.47688
1	16000000	16100000	0.56588
1	16100000	16200000	0.54044
1	16200000	16300000	0.48681
1	16300000	16400000	0.46083
1	16400000	16500000	0.50243
1	16500000	16600000	0.44785
1	16600000	16700000	0.49281
1	16700000	16800000	0.48642134667164166
1	16800000	16900000	0.4559474398567972
1	16900000	17000000	0.55041
1	17000000	17100000	0.48779
1	17100000	17200000	0.48748
1	17200000	17300000	0.51251
1	17300000	17400000	0.499
1	17400000	17500000	0.49979
1	17500000	17600000	0.52183
1	17600000	17700000	0.55162
1	17700000	17800000	0.50831
1	17800000	17900000	0.481
